Date,%SB 1!.Default Open,%SB 1!.Default High,%SB 1!.Default Low,%SB 1!.Default Close,OpenInterest.Default,VOL (%SB 1!).Volume
3/11/2022,19.12,19.29,18.87,19.24,0,45904
3/10/2022,19.02,19.59,18.96,19.1,319007,81535
3/9/2022,19.43,19.63,18.91,18.94,320649,75186
3/8/2022,19.2,19.73,19.01,19.43,331812,68661
3/7/2022,19.58,19.89,19.22,19.27,332906,100176
3/4/2022,18.9,19.48,18.81,19.35,333881,101322
3/3/2022,18.65,18.98,18.45,18.93,326949,75753
3/2/2022,18.5,18.67,18.28,18.64,331051,72440
3/1/2022,17.72,18.43,17.7,18.34,332756,80074
02/28/22,18.19,18.19,17.84,18,26383,0
02/25/22,18.33,18.38,17.95,17.99,31077,24995
02/24/22,18.69,18.87,18.25,18.32,37541,37968
02/23/22,18.48,18.6,18.45,18.53,51813,37000
02/22/22,18.3,18.5,18.27,18.48,66435,46937
02/18/22,18.25,18.48,18.11,18.2,81128,31304
02/17/22,18.05,18.35,18.05,18.28,88316,28632
02/16/22,18.15,18.25,18.04,18.07,96511,49148
02/15/22,18.19,18.27,17.96,18.07,108976,91620
02/14/22,18.22,18.4,18.01,18.12,163424,41009
2/11/2022,18.23,18.35,18.07,18.26,173971,69318
2/10/2022,18.48,18.54,18.22,18.3,195975,75250
2/9/2022,18.08,18.68,18.02,18.48,216406,165373
2/8/2022,18.01,18.14,17.84,18.08,256465,66923
2/7/2022,18.16,18.3,17.97,18.05,271342,60631
2/4/2022,18.01,18.3,17.98,18.23,285047,75861
2/3/2022,17.93,18.12,17.77,17.99,294111,61922
2/2/2022,18.5,18.5,17.86,17.93,295503,82936
2/1/2022,18.29,18.56,18.17,18.48,299283,62190
01/31/22,18.3,18.36,17.9,18.22,306622,72980
01/28/22,18.42,18.5,18.09,18.2,305879,52705
01/27/22,18.39,18.53,18.31,18.41,305534,38287
01/26/22,18.75,18.81,18.38,18.49,307074,62915
01/25/22,18.85,18.95,18.62,18.78,305392,52631
01/24/22,18.84,18.98,18.51,18.81,310381,55028
01/21/22,18.81,19.11,18.68,18.9,313073,47148
01/20/22,19.01,19.29,18.87,18.93,316977,64589
01/19/22,18.75,19.15,18.7,19.07,322941,67734
01/18/22,18.5,18.79,18.45,18.66,325598,70883
01/14/22,18.1,18.37,18.03,18.31,327896,41507
01/13/22,18.34,18.42,17.94,18.09,331122,53421
1/12/2022,18.19,18.47,18.15,18.34,334553,53099
1/11/2022,17.95,18.21,17.85,18.11,336635,63328
1/10/2022,18.15,18.2,17.6,17.83,337482,75293
1/7/2022,18.26,18.44,17.99,18.05,340072,46856
1/6/2022,18.31,18.39,18.15,18.19,342554,46247
1/5/2022,18.8,18.8,18.32,18.34,342666,59414
1/4/2022,18.75,18.85,18.62,18.75,336695,40168
1/3/2022,18.94,19.01,18.68,18.74,333430,20398
12/31/21,18.78,18.98,18.75,18.88,332499,22011
12/30/21,19.1,19.1,18.62,18.78,332371,36449
12/29/21,18.97,19.17,18.83,19.1,335076,28388
12/28/21,19.22,19.36,18.91,18.96,334132,27692
12/27/21,19.15,19.29,19.05,19.21,336514,17256
12/23/21,19.23,19.38,19.12,19.24,336484,32233
