Date,%W 1!-ICE.Default Open,%W 1!-ICE.Default High,%W 1!-ICE.Default Low,%W 1!-ICE.Default Close,OpenInterest.Default,VOL (%W 1!-ICE).Volume
3/11/2022,527.2,532.4,520.6,530.2,0,0
3/10/2022,526.1,538.7,525.5,527.5,32804,4995
3/9/2022,541.3,542.2,525,526.1,33321,6332
3/8/2022,531,544.5,526.1,536.3,33276,6768
3/7/2022,545.5,548,532.1,533.3,33146,6364
3/4/2022,522.2,535.7,520.9,532.3,33654,5962
3/3/2022,515.2,523,513.2,522.2,34352,7541
3/2/2022,510.2,516.4,506.4,515.2,34130,8314
3/1/2022,499.2,510,497.3,509.3,35153,6753
02/28/22,493.6,497.8,491.1,496,34506,4154
02/25/22,498,498.7,490.6,492.6,34312,5078
02/24/22,501.5,511,496,499.5,34153,9341
02/23/22,495.1,497,492.9,495.7,32199,6128
02/22/22,490,494.7,488.6,494.3,31592,7426
02/21/22,485.6,486.3,482.1,486.1,29821,954
02/18/22,485.3,490.6,483,484.9,29866,3031
02/17/22,483.3,488,478.8,486.8,29672,3830
02/16/22,480.1,485.8,480,482.7,29512,3182
02/15/22,481.6,484.5,479.4,480,28864,3446
02/14/22,486.2,489.7,481.2,482.2,28339,5142
2/11/2022,507.1,510.3,496.6,501.4,0,2375
2/10/2022,503.7,512.6,503.7,510.4,8267,5511
2/9/2022,502.3,510,500.5,503.2,11288,8186
2/8/2022,493.1,500.3,492,499.6,15028,12995
2/7/2022,499.5,500.9,492.5,492.9,17590,8068
2/4/2022,495,500.5,494,498.5,19125,6614
2/3/2022,490.2,495.1,486.6,492.5,19165,7756
2/2/2022,499.6,500.2,488.2,489.2,20133,6343
2/1/2022,494.6,503.7,490,499.5,20571,6802
01/31/22,497.8,498.9,489.1,492.5,21425,6848
01/28/22,501,501,493,495.2,22621,6591
01/27/22,499.7,501.9,497.6,499.7,23217,4087
01/26/22,500.8,503.9,497.1,499.8,23528,4469
01/25/22,505.3,508,501.1,504,24460,3126
01/24/22,504.9,506.2,498,504.5,24676,4257
01/21/22,504,508.5,501.4,505.4,25259,4678
01/20/22,512.1,514.8,505.8,507.3,26208,5224
01/19/22,510.7,512.5,507.7,510.1,26688,6695
01/18/22,508.7,512.2,506.5,509.1,26649,8133
01/17/22,504,508.4,504,508.3,26148,2570
01/14/22,499.6,503.9,496.1,502.6,26162,2688
01/13/22,503.9,504.6,495.1,497.3,26584,5715
1/12/2022,490.7,504.9,490.7,503.3,26967,8147
1/11/2022,483,491.5,482.4,489.8,27427,5963
1/10/2022,488.3,489.2,477.6,481.3,27509,8317
1/7/2022,487.8,492.3,484,485.8,27966,8055
1/6/2022,487.8,490.5,485.5,486.1,28894,4621
1/5/2022,492.5,493.9,488,488.2,28977,5240
1/4/2022,495,500.4,492.5,495.3,28822,4883
1/3/2022,,,,,,
12/31/21,496.5,499.8,495,497.1,28961,2151
12/30/21,498.9,501.5,491.6,494.7,28829,3172
12/29/21,501.4,502.3,495,501.1,29075,2410
12/28/21,504.1,506,496.8,498.2,28926,3443
12/27/21,,,,,,
12/24/21,,,,,,
12/23/21,500.5,505.6,499.4,503.3,28552,2142
12/22/21,494.9,505.7,493.6,502.9,28704,4245
12/21/21,488.3,492.8,488,492.1,28778,2553
12/20/21,494.9,495,486.5,487.8,29109,4696
12/17/21,501.4,502.5,497.2,498,30017,3604
12/16/21,505.2,509.3,501.1,504.4,30325,2273
12/15/21,507.8,507.8,500.7,503.2,30425,2330
12/14/21,512.2,513.6,509,510.9,30550,2506
12/13/21,511.3,513.5,508.9,510.1,30273,2195
12/10/2021,508.7,513.6,507.6,511.4,30116,2584
12/9/2021,513.4,513.5,505.3,510.7,29795,2240
12/8/2021,504.8,515.8,501.3,513.7,29730,4225
12/7/2021,497.6,506.4,497.1,505.6,29334,4525
12/6/2021,491.1,496.9,486.8,496.6,29133,4527
12/3/2021,488.9,490.9,486,486.9,29426,3928
12/2/2021,485,486.8,482.5,484.7,29441,3947
12/1/2021,490.1,491,483.7,484.2,29683,4956
11/30/21,495.6,497.5,484.8,485.6,29842,7831
11/29/21,504.5,508.3,497.5,497.7,30448,3130
11/26/21,507.5,509,495.8,501.4,30772,8764
11/25/21,512.6,514.4,510.1,511.2,31929,751
11/24/21,519.2,519.7,509.4,511.2,32074,2631
11/23/21,507.8,518.8,505.6,518.4,32230,3869
11/22/21,512.8,513.7,506.1,508,32350,4063
11/19/21,517.6,521.2,511.5,512.6,32826,3203
11/18/21,526,527.4,516,516.6,33022,4851
11/17/21,514.7,525.2,513.7,524.7,32843,3963
11/16/21,509.2,516,509.2,513.7,31648,2849
11/15/21,529,530.6,522.1,524.2,0,2591
11/12/2021,525.8,530.2,522.1,527.2,7017,2377
11/11/2021,510.3,526.3,509,522.8,10355,4148
11/10/2021,515.8,517,506.1,507.2,12759,5275
11/9/2021,515,518.4,513.2,514.5,14386,6186
11/8/2021,507.8,515.7,507.8,514,17542,6838
11/5/2021,507.1,511.1,504.6,507.7,19400,5640
11/4/2021,506.8,514.5,506.2,506.8,21932,6571
11/3/2021,507.6,509.7,506,506.3,24689,5870
11/2/2021,511,516,508,509.2,25540,6319
11/1/2021,508.9,515.8,508.2,511.2,26320,3836
10/29/21,517.3,518.8,507.2,509.1,25924,5272
10/28/21,515.7,517.9,512.1,515.6,24382,4850
10/27/21,512.2,519.7,510.6,518.5,23892,6121
10/26/21,506,511.5,504.7,511.3,24022,3125
10/25/21,500.2,506.7,496.8,505.4,23639,4324
10/22/21,503.3,505.1,497.2,500.6,23148,2284
10/21/21,503.1,505.3,499,500.8,22821,2331
10/20/21,501.7,505.9,498.2,502.2,23315,3299
10/19/21,507.8,508.6,500,500.5,23951,6284
10/18/21,519,519,505.7,507.3,24961,4699
10/15/21,515.5,522.5,514.4,520,25358,2686
10/14/21,516.1,522.2,507,512.9,25836,4632
10/13/21,516.3,521.8,512.4,514.1,26236,3889
10/12/2021,520.8,524.2,516.4,517,27195,4524
